name,address_street,address_suite,address_zip,inspection_date,inspection_score,inspection_type
DEARL'S SUPERMARKET,9223 ELAM RD,,75217,2015-04-20,61,routine
HISSHO SUSHI @ THE LANDING CAFE,2702 LOVE FIELD DR,#100,75235,2015-04-20,81,routine
LA NUEVA PUNTADA #8,3800 S LANCASTER RD,,75216,2015-04-20,81,routine
HALL'S HONEY FRIED CHICKEN & BBQ,4845 S LANCASTER RD,,75216,2015-04-20,84,routine
SAM'S WOK CHINESE RESTAURANT,6959 ARAPAHO RD,#115,75248,2015-04-20,84,routine
THE DOG STOP,6857 ARAPAHO RD,,75248,2015-04-20,84,routine
WHATABURGER #604,3710 W NORTHWEST HWY,,75220,2015-04-20,84,routine
HARRY C WITHERS ELEM,3959 NORTHAVEN RD,,75229,2015-04-20,85,routine
SAGE DINING SVC,15720 HILLCREST RD,,75248,2015-04-20,86,routine
T C MARSH JR HIGH,3838 CROWN SHORE RD,,75234,2015-04-20,86,routine
KROGER #518 GROCERY/PRODUCE,5665 E MOCKINGBIRD LN,,75206,2015-04-20,87,routine
E P CAILLET ELEMENTARY,3033 MERRELL RD,,75229,2015-04-20,88,routine
EL PAISA COCINA,10091 HARRY HINES BLVD,,75220,2015-04-20,88,routine
ALL SAINTS CATHOLIC CHURCH,5231 MEADOWCREEK DR,,75248,2015-04-20,89,routine
EL TACASO #3,902 N WESTMORELAND RD,FRONT,75211,2015-04-20,89,routine
BENGAL FOOD STORE,3003 S BUCKNER BLVD,,75227,2015-04-20,90,routine
CHINA VILLAGE,655 W ILLINOIS AVE,#703,75224,2015-04-20,90,routine
HEB CENTRAL MKT/FISH,10720 PRESTON RD,#1018,75230,2015-04-20,90,routine
KROGER #518 MEAT/SEAFOOD,5665 E MOCKINGBIRD LN,,75206,2015-04-20,90,routine
EL TACASO BACKROOM,902 N WESTMORELAND RD,REAR,75211,2015-04-20,91,routine
F D ROOSEVELT HIGH SCHOOL,525 BONNIE VIEW RD,,75203,2015-04-20,91,routine
AFC SUSHI - (INSIDE KROGER),5665 E MOCKINGBIRD LN,,75206,2015-04-20,92,routine
E H CARY JR HIGH,3978 KILLION DR,,75229,2015-04-20,92,routine
FAMILY DOLLAR #6145,1400 W DAVIS ST,,75208,2015-04-20,92,routine
KROGER #518 CHEF STATION,5665 E MOCKINGBIRD LN,,75206,2015-04-20,92,routine
KROGER #518 DELI,5665 E MOCKINGBIRD LN,,75206,2015-04-20,92,routine
